ano,genero,total_por_genero,total,porcentagem
2000,feminino,5,74.0,0.06756756756756757
2000,masculino,69,74.0,0.9324324324324325
2004,feminino,8,74.0,0.10810810810810811
2004,masculino,66,74.0,0.8918918918918919
2008,feminino,14,82.0,0.17073170731707318
2008,masculino,68,82.0,0.8292682926829268
2012,feminino,12,77.0,0.15584415584415584
2012,masculino,65,77.0,0.8441558441558441
2016,feminino,13,78.0,0.16666666666666666
2016,masculino,65,78.0,0.8333333333333334
2020,feminino,15,76.0,0.19736842105263158
2020,masculino,61,76.0,0.8026315789473685
